nfc_id,name,surname,date_of_birth,id_document_number,id_document_type,id_document_authority
1,Fannie,Burnett,1919-03-14,DW432288,ID,Authority2
2,Joey,Barfield,1945-12-09,lU815229,Passport,Authority8
3,Janice,Salo,1982-03-16,ZQ887968,ID,Authority6
4,Ruth,Parks,1900-12-29,Pp154539,ID,Authority11
5,Lisa,Hebert,1914-12-29,Sn147128,Passport,Authority6
6,William,Wyrick,1954-01-25,Cu358017,Passport,Authority10
7,Dana,Gifford,1999-09-08,ju156672,ID,Authority7
8,Kelly,Bethke,1902-03-09,fD748814,Passport,Authority7
9,Gary,Stamey,1927-07-13,dV910077,ID,Authority8
10,Eliza,Myers,1983-03-07,JM813456,ID,Authority5
11,Sung,Gaston,1996-05-06,cX999654,Passport,Authority4
12,Ruth,Walters,1996-03-29,Kc919580,ID,Authority6
13,Gary,Gaulke,1998-04-07,ao165421,ID,Authority6
14,Peggy,Spears,1931-12-21,ac910216,ID,Authority8
15,Jo,Thompson,1997-07-07,eM813133,ID,Authority9
16,Joseph,Anderson,1989-02-24,cg175680,ID,Authority1
17,Jessie,Paulson,1930-03-09,JW874514,ID,Authority7
18,Celia,Reynolds,1921-09-11,FL206199,ID,Authority1
19,Boyce,Dickinson,1929-10-30,uZ825649,ID,Authority4
20,Beverly,Burton,1901-08-31,QG820596,ID,Authority3
21,Matthew,Khalaf,1975-10-09,ga740254,Passport,Authority10
22,Lola,Sherrill,1978-01-26,By631077,ID,Authority7
23,Jamie,Matthews,1926-02-28,Ok929379,Passport,Authority5
24,Barbara,Garza,1909-04-29,kZ816591,ID,Authority5
25,Ivan,Sheppard,1959-09-14,Yr948104,ID,Authority5
26,Lois,Duhon,1953-03-29,lq242820,Passport,Authority6
27,Theresa,Airington,1946-02-08,Rd827805,ID,Authority8
28,Jared,Johnson,1914-08-21,ET485632,ID,Authority4
29,Chelsea,Deese,1986-09-18,re168944,Passport,Authority6
30,Nancy,Beem,1945-06-09,FT157788,Passport,Authority10
31,Gerald,Tavares,1988-07-31,RQ447231,Passport,Authority8
32,Brandon,Cummins,1984-08-27,wy440854,Passport,Authority7
33,Daniel,Clemon,1910-06-24,uv413004,ID,Authority9
34,Christopher,Dorch,1908-08-08,Ia461857,Passport,Authority7
35,Geneva,Ayres,1975-10-19,gq338902,Passport,Authority7
36,Lisa,Mcdonald,1955-06-09,tA786032,ID,Authority6
37,Melody,Boone,1969-01-07,Ar665526,Passport,Authority1
38,Lauren,Ahmann,1975-04-09,lG417262,Passport,Authority3
39,Joel,Vinson,1973-03-03,Ps375359,Passport,Authority1
40,Michael,Butts,1917-05-31,qe856229,ID,Authority4
41,Frances,Cortez,1939-12-20,Qy357675,ID,Authority6
42,Elizabeth,Richards,1908-01-20,En844816,Passport,Authority10
43,Alice,Harrell,1946-04-06,zF495853,ID,Authority5
44,Kristin,Cuevas,1980-05-07,BW765253,ID,Authority7
45,Jo,Perry,1964-05-10,wX282612,Passport,Authority8
46,Tony,Christian,1977-10-18,je319020,ID,Authority7
47,Elijah,Cannella,1997-02-05,PH361837,ID,Authority6
48,Suzann,Lamay,1966-07-20,ZX480908,Passport,Authority11
49,Anthony,Mendez,1911-07-02,kf916901,ID,Authority11
50,Matthew,Colvin,1987-11-05,Pt315253,Passport,Authority5
